characteristic,missing_pct
mvel1,0.0
beta,0.0
betasq,0.0
chmom,0.0
dolvol,0.0
idiovol,0.0
indmom,0.0
mom1m,0.0
mom6m,0.0
mom12m,0.0
mom36m,0.0
pricedelay,0.0
turn,0.0
absacc,0.0
acc,0.0
age,0.0
agr,0.0
bm,0.0
bm_ia,0.0
cashdebt,0.0
cashpr,0.0
cfp,0.0
cfp_ia,0.0
chatoia,0.0
chcsho,0.0
chempia,0.0
chinv,0.0
chpmia,0.0
convind,0.0
currat,0.0
depr,0.0
divi,0.0
divo,0.0
dy,0.0
egr,0.0
ep,0.0
gma,0.0
grcapx,0.0
grltnoa,0.0
herf,0.0
hire,0.0
invest,0.0
lev,0.0
lgr,0.0
mve_ia,0.0
operprof,0.0
orgcap,0.0
pchcapx_ia,0.0
pchcurrat,0.0
pchdepr,0.0
pchgm_pchsale,0.0
pchquick,0.0
pchsale_pchinvt,0.0
pchsale_pchrect,0.0
pchsale_pchxsga,0.0
pchsaleinv,0.0
pctacc,0.0
ps,0.0
quick,0.0
rd,0.0
rd_mve,0.0
rd_sale,0.0
realestate,0.0
roic,0.0
salecash,0.0
saleinv,0.0
salerec,0.0
secured,0.0
securedind,0.0
sgr,0.0
sin,0.0
sp,0.0
tang,0.0
tb,0.0
aeavol,0.0
cash,0.0
chtx,0.0
cinvest,0.0
ear,0.0
nincr,0.0
roaq,0.0
roavol,0.0
roeq,0.0
rsup,0.0
stdacc,0.0
stdcf,0.0
ms,0.0
baspread,0.0
ill,0.0
maxret,0.0
retvol,0.0
std_dolvol,0.0
std_turn,0.0
