column,dtype,first_value,first_value_type,first_year_month,last_year_month,min,max,range
baspread,float64,0.0168102137999999,float64,1957-01,2021-11,-0.217183509,0.9818181818,1.1990016908
beta,float64,1.7070618245,float64,1957-01,2021-11,-0.799580145,3.8874200783,4.6870002233
betasq,float64,2.9140600725,float64,1957-01,2021-11,0.0,15.112034865,15.112034865
chmom,float64,-0.208187182,float64,1957-01,2021-11,-8.461764608,7.783077181,16.244841789
dolvol,float64,10.673526327,float64,1957-01,2021-11,-3.060270795,19.459949862,22.520220657
idiovol,float64,0.026775939,float64,1957-01,2021-11,0.0,0.2835521294999999,0.2835521294999999
ill,float64,6.7972141e-08,float64,1957-01,2021-11,0.0,0.0009818182,0.0009818182
indmom,float64,0.0980499611,float64,1957-01,2021-11,-0.75950299,2.7486551242000004,3.5081581142000005
maxret,float64,0.0222222227999999,float64,1957-01,2021-11,0.0,0.9666665196,0.9666665196
mom12m,float64,0.0785645354,float64,1957-01,2021-11,-1.0,11.296122609,12.296122609
mom1m,float64,0.0137741043999999,float64,1957-01,2021-11,-0.736589134,2.0,2.736589134
mom36m,float64,1.3406044765,float64,1957-01,2021-11,-1.0,14.513888381,15.513888381
mom6m,float64,-0.066120951,float64,1957-01,2021-11,-1.0,7.5333333435,8.5333333435
mvel1,float64,117898.0,float64,1957-01,2021-11,0.0,2711977474.2,2711977474.2
pricedelay,float64,-0.0240367389999999,float64,1957-01,2021-11,-16.57295624,13.69201483,30.26497107
retvol,float64,0.0128775701,float64,1957-01,2021-11,0.0,0.2659367115,0.2659367115
std_dolvol,float64,0.4046970081,float64,1957-01,2021-11,0.0,3.3624285022,3.3624285022
std_turn,float64,0.5534500915,float64,1957-01,2021-11,0.0,794.68585525,794.68585525
turn,float64,0.4838080375,float64,1957-01,2021-11,0.0,588.55031949,588.55031949
zerotrade,float64,6.534455099999999e-08,float64,1957-01,2021-11,7.336618000000002e-13,20.045456146,20.045456145999264
aeavol,float64,0.07425386554999999,float64,1957-10,2021-09,-1.0,20.913043478,21.913043478
cash,float64,0.0584430939,float64,1957-10,2021-09,-0.143183846,0.9773526909,1.1205365369
chtx,float64,0.0049986425,float64,1957-10,2021-09,-0.117820888,0.1452963808,0.2631172688
cinvest,float64,0.0030000553,float64,1957-10,2021-09,-123.6666667,351.5,475.1666667
ear,float64,1.13368e-05,float64,1957-10,2021-09,-0.458277427,0.5012611896,0.9595386166
ms,float64,3.0,float64,1957-10,2021-09,0.0,8.0,8.0
nincr,float64,1.0,float64,1957-10,2021-09,0.0,8.0,8.0
roaq,float64,0.0090981921,float64,1957-10,2021-09,-0.516859717,0.1822474032,0.6991071202
roavol,float64,0.0058644656999999,float64,1957-10,2021-09,4.202607700000001e-06,0.8751859998999999,0.8751817972923
roeq,float64,0.02622493075,float64,1957-10,2021-09,-2.011209538,1.9891738246,4.0003833626
rsup,float64,0.03509312835,float64,1957-10,2021-09,-4.271041436,2.5114186851,6.7824601211
stdacc,float64,0.0964820511,float64,1966-03,2021-09,0.0,929.63238091,929.63238091
stdcf,float64,0.0968616992999999,float64,1966-03,2021-09,0.0,2996.621567,2996.621567
absacc,float64,0.0611511805,float64,1957-07,2021-06,0.0,1.0237330948,1.0237330948
acc,float64,0.0521606206,float64,1957-07,2021-06,-1.016244132,0.5699375965,1.5861817285
age,float64,1.0,float64,1957-07,2021-06,1.0,59.0,58.0
agr,float64,-0.07174181,float64,1957-07,2021-06,-5.636086957000001,0.7013919918000001,6.337478948800001
bm,float64,0.6826788359,float64,1957-07,2021-06,-4.753152203,153.74597772,158.49912992300003
bm_ia,float64,-0.135809563,float64,1957-07,2021-06,-130.9348434,137.29697196,268.23181536000004
