variable,dtype,min,max,range,nunique,sum,missing_count,missing_pct,first_obs_date,last_obs_date
permno,Int64,10000,93436,83436.0,32791,229749845974.0,0,0.0,1957-01-01,2021-12-01
date,datetime64[ns],1957-01-01 00:00:00,2021-12-01 00:00:00,,780,,0,0.0,1957-01-01,2021-12-01
mvel1,float64,0.0,2711977474.2,2711977474.2,2590328,7384176905865.036,0,0.0,1957-01-01,2021-12-01
beta,float64,-0.799580145,3.8874200783,4.6870002233,3642986,4160498.6766822697,0,0.0,1957-01-01,2021-12-01
betasq,float64,0.0,15.112034865,15.112034865,3679624,5784320.373131231,0,0.0,1957-01-01,2021-12-01
chmom,float64,-8.461764608,7.783077181,16.244841789,3617301,225.2714989022595,0,0.0,1957-01-01,2021-12-01
dolvol,float64,-3.060270795,19.459949862,22.520220657,2325601,44890193.644972146,0,0.0,1957-01-01,2021-12-01
idiovol,float64,0.0,0.2835521294999999,0.2835521294999999,3673233,243572.62841620969,0,0.0,1957-01-01,2021-12-01
indmom,float64,-0.75950299,2.7486551242000004,3.5081581142000005,44202,531213.7917422169,0,0.0,1957-01-01,2021-12-01
mom1m,float64,-0.736589134,2.0,2.736589134,1266348,36987.90214334071,0,0.0,1957-01-01,2021-12-01
mom6m,float64,-1.0,7.5333333435,8.5333333435,3144327,198815.643063186,0,0.0,1957-01-01,2021-12-01
mom12m,float64,-1.0,11.296122609,12.296122609,3195910,468770.51178187167,0,0.0,1957-01-01,2021-12-01
mom36m,float64,-1.0,14.513888381,15.513888381,2821630,1068701.4915237492,0,0.0,1957-01-01,2021-12-01
pricedelay,float64,-16.57295624,13.69201483,30.26497107,3640599,600219.9773615191,0,0.0,1957-01-01,2021-12-01
turn,float64,0.0,588.55031949,588.55031949,3476219,4298529.866139087,0,0.0,1957-01-01,2021-12-01
absacc,float64,0.0,1.0237330948,1.0237330948,218535,326580.778399407,0,0.0,1957-01-01,2021-12-01
acc,float64,-1.016244132,0.5699375965,1.5861817285,216676,-52990.2664156203,0,0.0,1957-01-01,2021-12-01
age,float64,0.0,59.0,59.0,61,45272642.0,0,0.0,1957-01-01,2021-12-01
agr,float64,-5.636086957000001,0.7013919918000001,6.337478948800001,238770,-527425.8812139656,0,0.0,1957-01-01,2021-12-01
