variable,dtype,min,max,range,nunique,sum,missing_count,missing_pct,first_obs_date,last_obs_date
permno,Int64,10176,93432,83256.0,500,3604292155.0,0,0.0,1957-01-01,2021-06-01
date,datetime64[ns],1957-01-01 00:00:00,2021-06-01 00:00:00,,774,,0,0.0,1957-01-01,2021-06-01
mvel1,float64,-1.0,0.9982746920873313,1.9982746920873313,65615,5002.352123227962,0,0.0,1957-01-01,2021-06-01
beta,float64,-1.0,1.0,2.0,59177,-1592.5204896677394,0,0.0,1957-01-01,2021-06-01
betasq,float64,-1.0,1.0,2.0,59610,-1732.305181410283,0,0.0,1957-01-01,2021-06-01
chmom,float64,-1.0,1.0,2.0,60006,30.91648404783749,0,0.0,1957-01-01,2021-06-01
dolvol,float64,-1.0,1.0,2.0,59670,4204.4075778878005,0,0.0,1957-01-01,2021-06-01
idiovol,float64,-1.0,1.0,2.0,59824,-4459.547065143693,0,0.0,1957-01-01,2021-06-01
indmom,float64,-1.0,1.0,2.0,2765,-708.8040188213838,0,0.0,1957-01-01,2021-06-01
mom1m,float64,-1.0,1.0,2.0,52972,582.5808885405512,0,0.0,1957-01-01,2021-06-01
mom6m,float64,-1.0,1.0,2.0,62736,884.283740139454,0,0.0,1957-01-01,2021-06-01
mom12m,float64,-1.0,1.0,2.0,60104,1357.379611955693,0,0.0,1957-01-01,2021-06-01
mom36m,float64,-1.0,1.0,2.0,50645,1788.5689029399857,0,0.0,1957-01-01,2021-06-01
pricedelay,float64,-1.0,1.0,2.0,59202,120.38693893939809,0,0.0,1957-01-01,2021-06-01
turn,float64,-1.0,1.0,2.0,60028,609.5574272063683,0,0.0,1957-01-01,2021-06-01
absacc,float64,-1.0,1.0,2.0,43219,-1978.8299606218516,0,0.0,1957-01-01,2021-06-01
acc,float64,-1.0,1.0,2.0,42940,-2149.3973296752883,0,0.0,1957-01-01,2021-06-01
age,float64,-1.0,1.0,2.0,2315,-257.214214214215,0,0.0,1957-01-01,2021-06-01
agr,float64,-1.0,1.0,2.0,46557,-782.6530188708598,0,0.0,1957-01-01,2021-06-01
