variable,dtype,min,max,range,nunique,sum,missing_count,missing_pct,first_obs_date,last_obs_date
permno,Int64,10000,93436,83436.0,31726,218718521607.0,0,0.0,1957-01-01,2021-06-01
date,datetime64[ns],1957-01-01 00:00:00,2021-06-01 00:00:00,,774,,0,0.0,1957-01-01,2021-06-01
mvel1,float64,0.0,2267638887.5,2267638887.5,2480302,7009809255773.309,0,0.0,1957-01-01,2021-06-01
beta,float64,-0.799580145,3.8874200783,4.6870002233,3500349,3960160.9376139934,0,0.0,1957-01-01,2021-06-01
betasq,float64,0.0,15.112034865,15.112034865,3534099,5499434.873138483,0,0.0,1957-01-01,2021-06-01
chmom,float64,-8.461764608,7.783077181,16.244841789,3479210,6396.238488385679,0,0.0,1957-01-01,2021-06-01
dolvol,float64,-3.060270795,19.459949862,22.520220657,2229171,42800734.151841976,0,0.0,1957-01-01,2021-06-01
idiovol,float64,0.0,0.2835521294999999,0.2835521294999999,3529809,229678.2994234492,0,0.0,1957-01-01,2021-06-01
indmom,float64,-0.75950299,2.7486551242000004,3.5081581142000005,43878,497386.1076147526,0,0.0,1957-01-01,2021-06-01
mom1m,float64,-0.736589134,2.0,2.736589134,1221005,36854.2204122885,0,0.0,1957-01-01,2021-06-01
mom6m,float64,-1.0,7.5333333435,8.5333333435,3036382,194644.36353479917,0,0.0,1957-01-01,2021-06-01
mom12m,float64,-1.0,11.296122609,12.296122609,3085726,447127.65288381884,0,0.0,1957-01-01,2021-06-01
mom36m,float64,-1.0,14.513888381,15.513888381,2722575,1045382.2209947916,0,0.0,1957-01-01,2021-06-01
pricedelay,float64,-16.57295624,13.69201483,30.26497107,3496772,565500.1038562105,0,0.0,1957-01-01,2021-06-01
turn,float64,0.0,588.55031949,588.55031949,3340415,4007938.4443145073,0,0.0,1957-01-01,2021-06-01
absacc,float64,0.0,1.0237330948,1.0237330948,218521,315195.4533479764,0,0.0,1957-01-01,2021-06-01
acc,float64,-1.016244132,0.5699375965,1.5861817285,216661,-52690.16468195046,0,0.0,1957-01-01,2021-06-01
age,float64,0.0,59.0,59.0,61,43647346.5,0,0.0,1957-01-01,2021-06-01
agr,float64,-5.636086957000001,0.7013919918000001,6.337478948800001,238755,-513611.6165137384,0,0.0,1957-01-01,2021-06-01
bm,float64,-4.753152203,153.74597772,158.49912992300003,339955,4765897.060951951,0,0.0,1957-01-01,2021-06-01
bm_ia,float64,-130.9348434,137.29697196,268.23181536000004,2589439,-5701090.50692576,0,0.0,1957-01-01,2021-06-01
cashdebt,float64,-10248.0,2.7623041816,10250.7623041816,248367,23489.059653274187,0,0.0,1957-01-01,2021-06-01
cashpr,float64,-656.4051724,600.27737445,1256.68254685,255712,-1793239.4601729799,0,0.0,1957-01-01,2021-06-01
cfp,float64,-170.1725966,161.28252366,331.45512026,232825,222484.38485755626,0,0.0,1957-01-01,2021-06-01
cfp_ia,float64,-168.9501625,363.74706091,532.69722341,233172,-301680.31317358447,0,0.0,1957-01-01,2021-06-01
chatoia,float64,-1.006542146,1.209927457,2.216469603,216462,3706.868599202172,0,0.0,1957-01-01,2021-06-01
chcsho,float64,-0.888405797,7.2087658593,8.0971716563,198716,321161.8459386282,0,0.0,1957-01-01,2021-06-01
chempia,float64,-57.17108398,3.5750877723000003,60.7461717523,205487,-400481.2050418671,0,0.0,1957-01-01,2021-06-01
chinv,float64,-0.279733495,0.3835263835,0.6632598785,184216,39081.1127549565,0,0.0,1957-01-01,2021-06-01
chpmia,float64,-166.9575638,173.7708691,340.72843290000003,235383,324622.5633617069,0,0.0,1957-01-01,2021-06-01
convind,float64,0.0,1.0,1.0,2,420332.0,0,0.0,1957-01-01,2021-06-01
currat,float64,0.0,106.67938931,106.67938931,247216,12480565.52162321,0,0.0,1957-01-01,2021-06-01
depr,float64,-0.983828834,8.1223880597,9.106216893700001,232762,918936.063532701,0,0.0,1957-01-01,2021-06-01
divi,float64,0.0,1.0,1.0,2,87397.0,0,0.0,1957-01-01,2021-06-01
divo,float64,0.0,1.0,1.0,2,84522.0,0,0.0,1957-01-01,2021-06-01
dy,float64,-12.14504773,0.5439915651,12.6890392951,137998,72984.2696962722,0,0.0,1957-01-01,2021-06-01
egr,float64,-4.091554638,9.5663234172,13.6578780552,236470,460578.70797048236,0,0.0,1957-01-01,2021-06-01
ep,float64,-8.194066112,0.6827200984999999,8.8767862105,259210,-22455.768945320808,0,0.0,1957-01-01,2021-06-01
gma,float64,-0.894597428,1.7661495963,2.6607470243,236173,1308558.552377288,0,0.0,1957-01-01,2021-06-01
grcapx,float64,-14.12089744,46.988764045,61.109661485000004,191553,2366042.248132514,0,0.0,1957-01-01,2021-06-01
grltnoa,float64,-0.592349727,1.1846110654000002,1.7769607924000002,178143,287416.62113058544,0,0.0,1957-01-01,2021-06-01
herf,float64,0.0,1.0,1.0,3826,363115.7843560602,0,0.0,1957-01-01,2021-06-01
hire,float64,-0.788343558,3.9166666667,4.7050102247,100033,260046.53843447153,0,0.0,1957-01-01,2021-06-01
invest,float64,-0.5385402460000001,2.3273809524,2.8659211984,221332,271671.02277946257,0,0.0,1957-01-01,2021-06-01
lev,float64,0.0,72.914767411,72.914767411,260502,7320474.922035474,0,0.0,1957-01-01,2021-06-01
lgr,float64,-0.797752809,10.75,11.547752809,236962,789332.3786685052,0,0.0,1957-01-01,2021-06-01
mve_ia,float64,-29218.104710000003,187263.28346,216481.38817000002,259524,-1492859724.0821579,0,0.0,1957-01-01,2021-06-01
operprof,float64,-6.165168812,3.4617852274,9.626954039400001,227640,633643.874183213,0,0.0,1957-01-01,2021-06-01
orgcap,float64,-0.0011567139999999,0.1648427256,0.16599943959999988,183505,48036.94452411061,0,0.0,1957-01-01,2021-06-01
pchcapx_ia,float64,-728.1018822000001,2238.1306093000003,2966.2324915000004,225588,20123362.556349482,0,0.0,1957-01-01,2021-06-01
pchcurrat,float64,-0.899768116,8.1401658737,9.039933989700002,228724,187571.35923185837,0,0.0,1957-01-01,2021-06-01
pchdepr,float64,-0.959677419,7.6442176684,8.6038950874,220783,295719.80820952554,0,0.0,1957-01-01,2021-06-01
pchgm_pchsale,float64,-12.09416094,5.999987444199999,18.0941483842,234330,-207370.62651637325,0,0.0,1957-01-01,2021-06-01
pchquick,float64,-0.922605349,9.3731396808,10.295745029799999,226207,250440.66433537443,0,0.0,1957-01-01,2021-06-01
pchsale_pchinvt,float64,-10.56357199,3.3883810342,13.9519530242,183094,-101951.34713653651,0,0.0,1957-01-01,2021-06-01
pchsale_pchrect,float64,-7.911684631,3.1686650108,11.0803496418,226607,-135310.98431349464,0,0.0,1957-01-01,2021-06-01
pchsale_pchxsga,float64,-1.5694444440000002,4.3352121948,5.904656638800001,193870,36350.10247239193,0,0.0,1957-01-01,2021-06-01
pchsaleinv,float64,-121.0362857,30.973970161,152.010255861,182651,339000.64673183433,0,0.0,1957-01-01,2021-06-01
pctacc,float64,-69.88115345,68.846153846,138.727307296,214341,-2018730.8296632983,0,0.0,1957-01-01,2021-06-01
ps,float64,0.0,9.0,9.0,12,16206016.5,0,0.0,1957-01-01,2021-06-01
quick,float64,0.0,100.6334131,100.6334131,244513,9671607.284462865,0,0.0,1957-01-01,2021-06-01
rd,float64,0.0,1.0,1.0,2,366867.0,0,0.0,1957-01-01,2021-06-01
rd_mve,float64,-0.03411239,2.2277974662,2.2619098562000004,98105,150254.6067358504,0,0.0,1957-01-01,2021-06-01
rd_sale,float64,-90.38461538,179.65,270.03461538,95784,1044785.1304772177,0,0.0,1957-01-01,2021-06-01
realestate,float64,0.0,0.9709816368,0.9709816368,87367,727618.3078446891,0,0.0,1957-01-01,2021-06-01
roic,float64,-19.7896735,1.1732637639,20.9629372639,246940,-231993.51712903118,0,0.0,1957-01-01,2021-06-01
salecash,float64,-1591.636364,2141.125,3732.761364,253353,155859441.24295616,0,0.0,1957-01-01,2021-06-01
saleinv,float64,-106.6224376,1127.253012,1233.8754496,198332,78397286.66923898,0,0.0,1957-01-01,2021-06-01
salerec,float64,-21796.0,594.0,22390.0,246189,40076667.86019652,0,0.0,1957-01-01,2021-06-01
secured,float64,-7.9705e-05,3.8485757121,3.8486554171000003,74021,1694636.0383530061,0,0.0,1957-01-01,2021-06-01
securedind,float64,0.0,1.0,1.0,3,1566589.0,0,0.0,1957-01-01,2021-06-01
