variable,dtype,min,max,range,nunique,sum,missing_count,missing_pct,first_obs_date,last_obs_date
permno,Int64,10000,93436,83436.0,32791,229749845974.0,0,0.0,1957-01-01,2021-12-01
date,datetime64[ns],1957-01-01 00:00:00,2021-12-01 00:00:00,,780,,0,0.0,1957-01-01,2021-12-01
mvel1,float64,0.0,2711977474.2,2711977474.2,2590119,7383993474065.564,3070,0.07456382590633909,1957-01-01,2021-12-01
beta,float64,-0.799580145,3.8874200783,4.6870002233,3642598,3783065.6964666094,400542,9.728320506898005,1957-01-01,2021-12-01
betasq,float64,0.0,15.112034865,15.112034865,3679236,5424337.928011582,400542,9.728320506898005,1957-01-01,2021-12-01
chmom,float64,-8.461764608,7.783077181,16.244841789,3616900,5361.928802929279,339083,8.235611003191915,1957-01-01,2021-12-01
dolvol,float64,-3.060270795,19.459949862,22.520220657,2325230,41558690.315046266,351918,8.547346086419232,1957-01-01,2021-12-01
idiovol,float64,0.0,0.2835521294999999,0.2835521294999999,3672846,223013.34987453057,400542,9.728320506898005,1957-01-01,2021-12-01
indmom,float64,-0.75950299,2.7486551242000004,3.5081581142000005,44202,531212.7533489971,24,0.0005829093881928788,1957-01-01,2021-12-01
mom1m,float64,-0.736589134,2.0,2.736589134,1266074,36963.610761554926,31736,0.7708005143203835,1957-01-01,2021-12-01
mom6m,float64,-1.0,7.5333333435,8.5333333435,3143937,195814.4501630023,157163,3.8171578406898927,1957-01-01,2021-12-01
mom12m,float64,-1.0,11.296122609,12.296122609,3195510,452516.0430986041,339083,8.235611003191915,1957-01-01,2021-12-01
mom36m,float64,-1.0,14.513888381,15.513888381,2821227,922186.5185629467,975666,23.696869630858057,1957-01-01,2021-12-01
pricedelay,float64,-16.57295624,13.69201483,30.26497107,3640205,564321.4886952386,400614,9.730069235062583,1957-01-01,2021-12-01
turn,float64,0.0,588.55031949,588.55031949,3475843,4205983.002770983,350956,8.523981135109167,1957-01-01,2021-12-01
absacc,float64,0.0,1.0237330948,1.0237330948,218206,231724.08124337147,1539538,37.39213140332035,1963-07-01,2021-12-01
acc,float64,-1.016244132,0.5699375965,1.5861817285,216352,-63431.24124935376,1539538,37.39213140332035,1963-07-01,2021-12-01
age,float64,1.0,59.0,58.0,59,36918682.0,1026878,24.94070111369696,1959-07-01,2021-12-01
