variable,dtype,min,max,range,nunique,sum,missing_count,missing_pct,first_obs_date,last_obs_date
permno,Int64,10000,93436,83436.0,31726,218718521607.0,0,0.0,1957-01-01,2021-06-01
date,datetime64[ns],1957-01-01 00:00:00,2021-06-01 00:00:00,,774,,0,0.0,1957-01-01,2021-06-01
mvel1,float64,-1.0,1.0,2.0,3889976,-18.84523634126348,0,0.0,1957-01-01,2021-06-01
beta,float64,-1.0,1.0,2.0,3497656,8.896370386384682,0,0.0,1957-01-01,2021-06-01
betasq,float64,-1.0,1.0,2.0,3531460,271.3980586515905,0,0.0,1957-01-01,2021-06-01
chmom,float64,-1.0,1.0,2.0,3552868,-21.546919171157,0,0.0,1957-01-01,2021-06-01
dolvol,float64,-1.0,1.0,2.0,3521439,354.62945285943886,0,0.0,1957-01-01,2021-06-01
idiovol,float64,-1.0,1.0,2.0,3533185,256.28871916186336,0,0.0,1957-01-01,2021-06-01
indmom,float64,-1.0,1.0,2.0,8854,-27190.169040870187,0,0.0,1957-01-01,2021-06-01
mom1m,float64,-1.0,1.0,2.0,2646267,39.02038228167536,0,0.0,1957-01-01,2021-06-01
mom6m,float64,-1.0,1.0,2.0,3675570,98.7046507598579,0,0.0,1957-01-01,2021-06-01
mom12m,float64,-1.0,1.0,2.0,3538279,131.94122834427048,0,0.0,1957-01-01,2021-06-01
mom36m,float64,-1.0,1.0,2.0,2954622,43.927409966632226,0,0.0,1957-01-01,2021-06-01
pricedelay,float64,-1.0,1.0,2.0,3496278,4.964508067384605,0,0.0,1957-01-01,2021-06-01
turn,float64,-1.0,1.0,2.0,3573339,291.69976697554955,0,0.0,1957-01-01,2021-06-01
absacc,float64,-1.0,1.0,2.0,2521892,-94086.61076853606,0,0.0,1957-01-01,2021-06-01
acc,float64,-1.0,1.0,2.0,2496728,-94265.34261619831,0,0.0,1957-01-01,2021-06-01
age,float64,-1.0,1.0,2.0,2392,-120621.89878070618,0,0.0,1957-01-01,2021-06-01
agr,float64,-1.0,1.0,2.0,2757725,-13816.610021873603,0,0.0,1957-01-01,2021-06-01
bm,float64,-1.0,1.0,2.0,2952303,-68955.70024830729,0,0.0,1957-01-01,2021-06-01
bm_ia,float64,-1.0,1.0,2.0,2954216,-45408.43178410199,0,0.0,1957-01-01,2021-06-01
cashdebt,float64,-1.0,1.0,2.0,2870393,-30309.435803922508,0,0.0,1957-01-01,2021-06-01
cashpr,float64,-1.0,1.0,2.0,2949058,-15834.485441243889,0,0.0,1957-01-01,2021-06-01
cfp,float64,-1.0,1.0,2.0,2682764,-42493.69590919357,0,0.0,1957-01-01,2021-06-01
cfp_ia,float64,-1.0,1.0,2.0,2681254,-60783.98827869227,0,0.0,1957-01-01,2021-06-01
chatoia,float64,-1.0,1.0,2.0,2495626,-71264.38425900633,0,0.0,1957-01-01,2021-06-01
chcsho,float64,-1.0,1.0,2.0,2400203,-45619.795030241476,0,0.0,1957-01-01,2021-06-01
chempia,float64,-1.0,1.0,2.0,2360478,-22328.38271984552,0,0.0,1957-01-01,2021-06-01
chinv,float64,-1.0,1.0,2.0,2134892,-42364.81078901733,0,0.0,1957-01-01,2021-06-01
chpmia,float64,-1.0,1.0,2.0,2708474,-30763.745337919063,0,0.0,1957-01-01,2021-06-01
convind,float64,-1.0,1.0,2.0,2,-3082268.0,0,0.0,1957-01-01,2021-06-01
currat,float64,-1.0,1.0,2.0,2869218,-26300.156438259666,0,0.0,1957-01-01,2021-06-01
depr,float64,-1.0,1.0,2.0,2790838,-30405.374081525744,0,0.0,1957-01-01,2021-06-01
divi,float64,-1.0,1.0,2.0,2,-3748138.0,0,0.0,1957-01-01,2021-06-01
divo,float64,-1.0,1.0,2.0,2,-3753888.0,0,0.0,1957-01-01,2021-06-01
dy,float64,-1.0,1.0,2.0,1609782,-357504.06703437737,0,0.0,1957-01-01,2021-06-01
egr,float64,-1.0,1.0,2.0,2732402,-77763.07022878408,0,0.0,1957-01-01,2021-06-01
ep,float64,-1.0,1.0,2.0,2992711,-25243.05440704581,0,0.0,1957-01-01,2021-06-01
gma,float64,-1.0,1.0,2.0,2725437,-45576.52886773446,0,0.0,1957-01-01,2021-06-01
grcapx,float64,-1.0,1.0,2.0,2347753,-47232.176309588474,0,0.0,1957-01-01,2021-06-01
grltnoa,float64,-1.0,1.0,2.0,2051427,-88340.14617964579,0,0.0,1957-01-01,2021-06-01
herf,float64,-1.0,1.0,2.0,21760,-20067.709626488333,0,0.0,1957-01-01,2021-06-01
hire,float64,-1.0,1.0,2.0,1881014,-40335.07739791974,0,0.0,1957-01-01,2021-06-01
invest,float64,-1.0,1.0,2.0,2559840,-45550.047814684585,0,0.0,1957-01-01,2021-06-01
lev,float64,-1.0,1.0,2.0,3008532,-30337.694126632647,0,0.0,1957-01-01,2021-06-01
lgr,float64,-1.0,1.0,2.0,2744264,-42448.54921568271,0,0.0,1957-01-01,2021-06-01
mve_ia,float64,-1.0,1.0,2.0,2989238,1219.5084111701854,0,0.0,1957-01-01,2021-06-01
operprof,float64,-1.0,1.0,2.0,2636478,-71194.94404689703,0,0.0,1957-01-01,2021-06-01
orgcap,float64,-1.0,1.0,2.0,2119619,-45540.61479900291,0,0.0,1957-01-01,2021-06-01
pchcapx_ia,float64,-1.0,1.0,2.0,2591702,-21329.335674743612,0,0.0,1957-01-01,2021-06-01
pchcurrat,float64,-1.0,1.0,2.0,2635954,-26520.274352356973,0,0.0,1957-01-01,2021-06-01
pchdepr,float64,-1.0,1.0,2.0,2551163,-38153.77303832738,0,0.0,1957-01-01,2021-06-01
pchgm_pchsale,float64,-1.0,1.0,2.0,2703437,-18135.880024928698,0,0.0,1957-01-01,2021-06-01
pchquick,float64,-1.0,1.0,2.0,2606488,-23309.90194943641,0,0.0,1957-01-01,2021-06-01
pchsale_pchinvt,float64,-1.0,1.0,2.0,2118194,-31843.39349422188,0,0.0,1957-01-01,2021-06-01
pchsale_pchrect,float64,-1.0,1.0,2.0,2613454,-18096.898626892027,0,0.0,1957-01-01,2021-06-01
pchsale_pchxsga,float64,-1.0,1.0,2.0,2235454,-22262.11375689804,0,0.0,1957-01-01,2021-06-01
pchsaleinv,float64,-1.0,1.0,2.0,2115422,-31741.151808717583,0,0.0,1957-01-01,2021-06-01
pctacc,float64,-1.0,1.0,2.0,2494818,-88349.39311777138,0,0.0,1957-01-01,2021-06-01
ps,float64,-1.0,1.0,2.0,1557,-56179.51802851068,0,0.0,1957-01-01,2021-06-01
quick,float64,-1.0,1.0,2.0,2840032,-26270.865411873034,0,0.0,1957-01-01,2021-06-01
rd,float64,-1.0,1.0,2.0,2,-3189198.0,0,0.0,1957-01-01,2021-06-01
rd_mve,float64,-1.0,1.0,2.0,1134658,-62380.00548130061,0,0.0,1957-01-01,2021-06-01
rd_sale,float64,-1.0,1.0,2.0,1110124,-59748.8653732726,0,0.0,1957-01-01,2021-06-01
realestate,float64,-1.0,1.0,2.0,1007734,-1035234.1398848885,0,0.0,1957-01-01,2021-06-01
roic,float64,-1.0,1.0,2.0,2853136,-71183.00746553061,0,0.0,1957-01-01,2021-06-01
salecash,float64,-1.0,1.0,2.0,2942482,-26434.6960541672,0,0.0,1957-01-01,2021-06-01
saleinv,float64,-1.0,1.0,2.0,2310144,-30406.19375449982,0,0.0,1957-01-01,2021-06-01
salerec,float64,-1.0,1.0,2.0,2864828,-26164.655751096023,0,0.0,1957-01-01,2021-06-01
secured,float64,-1.0,1.0,2.0,860154,-817654.5116792767,0,0.0,1957-01-01,2021-06-01
securedind,float64,-1.0,1.0,2.0,13,-789751.9995706499,0,0.0,1957-01-01,2021-06-01
sgr,float64,-1.0,1.0,2.0,2712936,-43439.13587946555,0,0.0,1957-01-01,2021-06-01
sin,float64,-1.0,1.0,2.0,2,-3867310.0,0,0.0,1957-01-01,2021-06-01
sp,float64,-1.0,1.0,2.0,2972909,-30660.509808344716,0,0.0,1957-01-01,2021-06-01
tang,float64,-1.0,1.0,2.0,2832317,-30318.37540053328,0,0.0,1957-01-01,2021-06-01
tb,float64,-1.0,1.0,2.0,1856451,-29596.67303065154,0,0.0,1957-01-01,2021-06-01
aeavol,float64,-1.0,1.0,2.0,2356681,-247189.342902397,0,0.0,1957-01-01,2021-06-01
