variable,dtype,min,max,range,nunique,sum,missing_count,missing_pct,first_obs_date,last_obs_date
permno,Int64,10000,93436,83436.0,32791,229749845974.0,0,0.0,1957-01-01,2021-12-01
date,datetime64[ns],1957-01-01 00:00:00,2021-12-01 00:00:00,,780,,0,0.0,1957-01-01,2021-12-01
mvel1,float64,0.0,2711977474.2,2711977474.2,2578414,7370990571353.671,32791,0.7964242395096955,1957-01-01,2021-11-01
beta,float64,-0.799580145,3.8874200783,4.6870002233,3641880,4129525.2313463064,32791,0.7964242395096955,1957-01-01,2021-11-01
betasq,float64,0.0,15.112034865,15.112034865,3678508,5754527.13065118,32791,0.7964242395096955,1957-01-01,2021-11-01
chmom,float64,-8.461764608,7.783077181,16.244841789,3616297,630.7482522845121,32791,0.7964242395096955,1957-01-01,2021-11-01
dolvol,float64,-3.060270795,19.459949862,22.520220657,2325564,44539322.20786428,32791,0.7964242395096955,1957-01-01,2021-11-01
idiovol,float64,0.0,0.2835521294999999,0.2835521294999999,3672126,241921.21604828085,32791,0.7964242395096955,1957-01-01,2021-11-01
indmom,float64,-0.75950299,2.7486551242000004,3.5081581142000005,44201,527032.6484904725,32791,0.7964242395096955,1957-01-01,2021-11-01
mom1m,float64,-0.736589134,2.0,2.736589134,1266017,36939.8647832176,32791,0.7964242395096955,1957-01-01,2021-11-01
mom6m,float64,-1.0,7.5333333435,8.5333333435,3143426,197872.7669313342,32791,0.7964242395096955,1957-01-01,2021-11-01
mom12m,float64,-1.0,11.296122609,12.296122609,3194956,465964.5546079736,32791,0.7964242395096955,1957-01-01,2021-11-01
mom36m,float64,-1.0,14.513888381,15.513888381,2820664,1063047.1850543846,32791,0.7964242395096955,1957-01-01,2021-11-01
pricedelay,float64,-16.57295624,13.69201483,30.26497107,3639496,597302.0720180495,32791,0.7964242395096955,1957-01-01,2021-11-01
turn,float64,0.0,588.55031949,588.55031949,3475611,4280497.830453892,32791,0.7964242395096955,1957-01-01,2021-11-01
absacc,float64,0.0,1.0237330948,1.0237330948,218521,315195.4533479765,194346,4.720254498238885,1957-01-01,2021-06-01
acc,float64,-1.016244132,0.5699375965,1.5861817285,216661,-52690.164681950446,194346,4.720254498238885,1957-01-01,2021-06-01
age,float64,0.0,59.0,59.0,61,43647346.5,194346,4.720254498238885,1957-01-01,2021-06-01
